DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AL,2009,2.351,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AL,2010,2.351,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AL,2011,1.175,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AL,2012,0.940,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AL,2013,3.720,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AL,2014,3.250,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AL,2015,2.956,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AL,2016,3.548,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AL,2017,3.265,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AL,2018,3.265,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AL,2019,4.206,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AL,2020,3.265,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AT,2009,4.535,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AT,2010,5.072,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AT,2011,3.531,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AT,2012,0.064,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AT,2013,0.187,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AT,2014,0.020,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AT,2015,0.014,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AT,2016,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AT,2017,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AT,2018,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AT,2019,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,AT,2020,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BA,2014,94.961,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BA,2015,111.283,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BA,2016,109.145,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BA,2017,45.135,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BA,2018,49.405,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BA,2019,41.878,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BA,2020,34.872,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BE,2009,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BE,2010,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BE,2011,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BE,2012,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BE,2013,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BE,2014,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BE,2015,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BE,2016,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BE,2017,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BE,2018,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BE,2019,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BE,2020,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BG,2009,4.581,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BG,2010,4.276,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BG,2011,4.799,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BG,2012,3.601,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BG,2013,4.778,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BG,2014,2.120,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BG,2015,5.554,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BG,2016,5.965,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BG,2017,3.902,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BG,2018,2.533,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BG,2019,3.833,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,BG,2020,3.278,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CY,2009,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CY,2010,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CY,2011,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CY,2012,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CY,2013,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CY,2014,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CY,2015,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CY,2016,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CY,2017,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CY,2018,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CY,2019,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CY,2020,0.000,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CZ,2009,24.439,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CZ,2010,39.444,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CZ,2011,34.223,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CZ,2012,32.252,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CZ,2013,31.926,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CZ,2014,28.202,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CZ,2015,24.938,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CZ,2016,33.001,
ESTAT:TEN00128(1.0),14/04/22 11:00:00,A,FC_OTH_CP_E,C0000X0350-0370,KTOE,CZ,2017,32.137,
