DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AL,2009,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AL,2010,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AL,2011,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AL,2012,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AL,2013,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AL,2014,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AL,2015,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AL,2016,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AL,2017,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AL,2018,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AL,2019,0.314,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AL,2020,0.370,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AT,2009,283.325,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AT,2010,276.246,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AT,2011,268.811,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AT,2012,263.491,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AT,2013,267.136,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AT,2014,263.507,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AT,2015,272.007,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AT,2016,275.718,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AT,2017,280.585,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AT,2018,282.096,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AT,2019,281.890,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,AT,2020,265.980,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BA,2014,6.879,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BA,2015,7.825,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BA,2016,6.277,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BA,2017,6.535,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BA,2018,5.073,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BA,2019,5.073,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BA,2020,5.073,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BE,2009,146.096,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BE,2010,150.628,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BE,2011,146.982,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BE,2012,140.980,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BE,2013,148.323,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BE,2014,137.893,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BE,2015,140.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BE,2016,142.906,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BE,2017,146.346,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BE,2018,150.069,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BE,2019,148.487,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BE,2020,138.727,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BG,2009,40.155,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BG,2010,34.308,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BG,2011,31.556,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BG,2012,25.967,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BG,2013,23.818,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BG,2014,26.311,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BG,2015,30.267,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BG,2016,30.439,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BG,2017,32.467,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BG,2018,27.827,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BG,2019,30.905,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,BG,2020,35.706,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CY,2009,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CY,2010,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CY,2011,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CY,2012,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CY,2013,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CY,2014,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CY,2015,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CY,2016,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CY,2017,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CY,2018,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CY,2019,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CY,2020,0.000,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CZ,2009,141.960,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CZ,2010,140.069,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CZ,2011,138.091,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CZ,2012,138.779,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CZ,2013,136.887,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CZ,2014,134.050,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CZ,2015,138.349,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CZ,2016,140.671,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CZ,2017,145.964,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CZ,2018,150.763,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CZ,2019,151.958,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,CZ,2020,141.367,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DE,2009,997.248,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DE,2010,1038.693,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DE,2011,1041.015,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DE,2012,1033.964,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DE,2013,1025.365,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DE,2014,990.800,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DE,2015,958.555,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DE,2016,1009.286,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DE,2017,1028.117,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DE,2018,1039.295,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DE,2019,997.850,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DE,2020,957.610,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DK,2009,33.964,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DK,2010,34.738,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DK,2011,34.136,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DK,2012,33.104,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DK,2013,33.190,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DK,2014,33.104,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DK,2015,34.136,
ESTAT:TEN00126(1.0),14/04/22 11:00:00,A,FC_TRA_E,E7000,KTOE,DK,2016,38.458,
