DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BG,2010,56.523,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BG,2011,55.823,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BG,2012,52.230,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BG,2013,52.563,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BG,2014,57.137,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BG,2015,52.938,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BG,2016,57.264,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BG,2017,48.021,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BG,2018,49.257,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BG,2019,48.279,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,BG,2020,47.626,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CY,2009,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CY,2010,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CY,2011,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CY,2012,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CY,2013,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CY,2014,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CY,2015,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CY,2016,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CY,2017,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CY,2018,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CY,2019,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CY,2020,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CZ,2009,238.758,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CZ,2010,323.368,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CZ,2011,308.853,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CZ,2012,347.019,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CZ,2013,363.125,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CZ,2014,342.528,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CZ,2015,376.847,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CZ,2016,363.849,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CZ,2017,343.008,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CZ,2018,331.807,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CZ,2019,327.781,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,CZ,2020,265.489,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DE,2009,340.736,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DE,2010,354.364,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DE,2011,366.118,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DE,2012,343.891,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DE,2013,371.980,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DE,2014,349.594,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DE,2015,360.811,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DE,2016,370.876,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DE,2017,391.270,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DE,2018,381.825,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DE,2019,388.240,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DE,2020,365.623,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DK,2009,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DK,2010,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DK,2011,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DK,2012,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DK,2013,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DK,2014,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DK,2015,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DK,2016,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DK,2017,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DK,2018,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DK,2019,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,DK,2020,0.000,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,EA19,2009,851.476,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,EA19,2010,905.211,
ESTAT:TEN00130(1.0),14/04/22 11:00:00,A,FC_NE,C0000X0350-0370,KTOE,EA19,2011,1193.284,
