,country,time-period,fuel-type,value(GWH)
0,Albania,2018-01,Coal and manufactured gases,0
1,Albania,2018-02,Coal and manufactured gases,0
2,Albania,2018-03,Coal and manufactured gases,0
3,Albania,2018-04,Coal and manufactured gases,0
4,Albania,2018-05,Coal and manufactured gases,0
5,Albania,2018-06,Coal and manufactured gases,0
6,Albania,2018-07,Coal and manufactured gases,0
7,Albania,2018-08,Coal and manufactured gases,0
8,Albania,2018-09,Coal and manufactured gases,0
9,Albania,2018-10,Coal and manufactured gases,0
10,Albania,2018-11,Coal and manufactured gases,0
11,Albania,2018-12,Coal and manufactured gases,0
12,Albania,2019-01,Coal and manufactured gases,0
13,Albania,2019-02,Coal and manufactured gases,0
14,Albania,2019-03,Coal and manufactured gases,0
15,Albania,2019-04,Coal and manufactured gases,0
16,Albania,2019-05,Coal and manufactured gases,0
17,Albania,2019-06,Coal and manufactured gases,0
18,Albania,2019-07,Coal and manufactured gases,0
19,Albania,2019-08,Coal and manufactured gases,0
20,Albania,2019-09,Coal and manufactured gases,0
21,Albania,2019-10,Coal and manufactured gases,0
22,Albania,2019-11,Coal and manufactured gases,0
23,Albania,2019-12,Coal and manufactured gases,0
24,Albania,2020-01,Coal and manufactured gases,0
25,Albania,2020-02,Coal and manufactured gases,0
26,Albania,2020-03,Coal and manufactured gases,0
27,Albania,2020-04,Coal and manufactured gases,0
28,Albania,2020-05,Coal and manufactured gases,0
29,Albania,2020-06,Coal and manufactured gases,0
30,Albania,2020-07,Coal and manufactured gases,0
31,Albania,2020-08,Coal and manufactured gases,0
32,Albania,2020-09,Coal and manufactured gases,0
33,Albania,2020-10,Coal and manufactured gases,0
34,Albania,2020-11,Coal and manufactured gases,0
35,Albania,2020-12,Coal and manufactured gases,0
36,Albania,2021-01,Coal and manufactured gases,0
37,Albania,2021-02,Coal and manufactured gases,0
38,Albania,2021-03,Coal and manufactured gases,0
39,Albania,2021-04,Coal and manufactured gases,0
40,Albania,2021-05,Coal and manufactured gases,0
41,Albania,2021-06,Coal and manufactured gases,0
42,Albania,2021-07,Coal and manufactured gases,0
43,Albania,2021-08,Coal and manufactured gases,0
44,Albania,2021-09,Coal and manufactured gases,0
45,Albania,2021-10,Coal and manufactured gases,0
46,Albania,2021-11,Coal and manufactured gases,0
47,Albania,2021-12,Coal and manufactured gases,0
48,Albania,2022-01,Coal and manufactured gases,0
49,Albania,2022-02,Coal and manufactured gases,0
50,Albania,2022-03,Coal and manufactured gases,0
51,Albania,2022-04,Coal and manufactured gases,0
52,Albania,2022-05,Coal and manufactured gases,0
53,Austria,2017-01,Coal and manufactured gases,508.458
54,Austria,2017-02,Coal and manufactured gases,397.125
55,Austria,2017-03,Coal and manufactured gases,340.544
56,Austria,2017-04,Coal and manufactured gases,248.78
57,Austria,2017-05,Coal and manufactured gases,200.568
58,Austria,2017-06,Coal and manufactured gases,193.254
59,Austria,2017-07,Coal and manufactured gases,201.199
60,Austria,2017-08,Coal and manufactured gases,190.776
61,Austria,2017-09,Coal and manufactured gases,183.012
62,Austria,2017-10,Coal and manufactured gases,340.628
63,Austria,2017-11,Coal and manufactured gases,419.984
64,Austria,2017-12,Coal and manufactured gases,406.287
65,Austria,2018-01,Coal and manufactured gases,391.157
66,Austria,2018-02,Coal and manufactured gases,387.824
67,Austria,2018-03,Coal and manufactured gases,410.01
68,Austria,2018-04,Coal and manufactured gases,218.977
69,Austria,2018-05,Coal and manufactured gases,187.384
70,Austria,2018-06,Coal and manufactured gases,161.986
71,Austria,2018-07,Coal and manufactured gases,135.053
72,Austria,2018-08,Coal and manufactured gases,106.711
73,Austria,2018-09,Coal and manufactured gases,168.78
74,Austria,2018-10,Coal and manufactured gases,391.961
75,Austria,2018-11,Coal and manufactured gases,394.918
76,Austria,2018-12,Coal and manufactured gases,397.87
77,Austria,2019-01,Coal and manufactured gases,355.459
78,Austria,2019-02,Coal and manufactured gases,344.164
79,Austria,2019-03,Coal and manufactured gases,311.954
80,Austria,2019-04,Coal and manufactured gases,266.525
81,Austria,2019-05,Coal and manufactured gases,237.378
82,Austria,2019-06,Coal and manufactured gases,251.168
83,Austria,2019-07,Coal and manufactured gases,286.812
84,Austria,2019-08,Coal and manufactured gases,136.737
85,Austria,2019-09,Coal and manufactured gases,156.339
86,Austria,2019-10,Coal and manufactured gases,305.497
87,Austria,2019-11,Coal and manufactured gases,263.318
88,Austria,2019-12,Coal and manufactured gases,259.363
89,Austria,2020-01,Coal and manufactured gases,292.147
90,Austria,2020-02,Coal and manufactured gases,274.941
91,Austria,2020-03,Coal and manufactured gases,281.332
92,Austria,2020-04,Coal and manufactured gases,131.107
93,Austria,2020-05,Coal and manufactured gases,139.213
94,Austria,2020-06,Coal and manufactured gases,134.765
95,Austria,2020-07,Coal and manufactured gases,128.357
96,Austria,2020-08,Coal and manufactured gases,143.488
97,Austria,2020-09,Coal and manufactured gases,142.421
98,Austria,2020-10,Coal and manufactured gases,175.696
99,Austria,2020-11,Coal and manufactured gases,149.781
100,Austria,2020-12,Coal and manufactured gases,170.223
101,Austria,2021-01,Coal and manufactured gases,167.793
102,Austria,2021-02,Coal and manufactured gases,160.367
103,Austria,2021-03,Coal and manufactured gases,182.632
104,Austria,2021-04,Coal and manufactured gases,158.973
105,Austria,2021-05,Coal and manufactured gases,184.513
106,Austria,2021-06,Coal and manufactured gases,169.577
107,Austria,2021-07,Coal and manufactured gases,137.918
108,Austria,2021-08,Coal and manufactured gases,165.035
109,Austria,2021-09,Coal and manufactured gases,144.393
110,Austria,2021-10,Coal and manufactured gases,164.731
111,Austria,2021-11,Coal and manufactured gases,164.526
112,Austria,2021-12,Coal and manufactured gases,163.837
113,Austria,2022-01,Coal and manufactured gases,165.333
114,Austria,2022-02,Coal and manufactured gases,143.377
115,Austria,2022-03,Coal and manufactured gases,169.811
116,Austria,2022-04,Coal and manufactured gases,159.652
117,Austria,2022-05,Coal and manufactured gases,152.658
118,Bosnia and Herzegovina,2017-01,Coal and manufactured gases,1065.049
119,Bosnia and Herzegovina,2017-02,Coal and manufactured gases,961.436
120,Bosnia and Herzegovina,2017-03,Coal and manufactured gases,936.444
121,Bosnia and Herzegovina,2017-04,Coal and manufactured gases,742.893
122,Bosnia and Herzegovina,2017-05,Coal and manufactured gases,667.715
123,Bosnia and Herzegovina,2017-06,Coal and manufactured gases,933.313
124,Bosnia and Herzegovina,2017-07,Coal and manufactured gases,945.234
125,Bosnia and Herzegovina,2017-08,Coal and manufactured gases,933.804
126,Bosnia and Herzegovina,2018-01,Coal and manufactured gases,949.291
127,Bosnia and Herzegovina,2018-02,Coal and manufactured gases,923.503
128,Bosnia and Herzegovina,2018-03,Coal and manufactured gases,830.76
129,Bosnia and Herzegovina,2018-04,Coal and manufactured gases,539.47
130,Bosnia and Herzegovina,2018-05,Coal and manufactured gases,760.481
131,Bosnia and Herzegovina,2019-01,Coal and manufactured gases,955.961
132,Bosnia and Herzegovina,2019-02,Coal and manufactured gases,836.243
133,Bosnia and Herzegovina,2019-03,Coal and manufactured gases,846.348
134,Bosnia and Herzegovina,2019-04,Coal and manufactured gases,507.408
135,Bosnia and Herzegovina,2019-05,Coal and manufactured gases,588.873
136,Bosnia and Herzegovina,2019-06,Coal and manufactured gases,671.341
137,Bosnia and Herzegovina,2019-07,Coal and manufactured gases,963.187
138,Bosnia and Herzegovina,2019-08,Coal and manufactured gases,981.843
139,Bosnia and Herzegovina,2019-09,Coal and manufactured gases,820.366
140,Bosnia and Herzegovina,2019-10,Coal and manufactured gases,705.066
141,Bosnia and Herzegovina,2019-11,Coal and manufactured gases,839.375
142,Bosnia and Herzegovina,2019-12,Coal and manufactured gases,906.88
143,Bosnia and Herzegovina,2020-01,Coal and manufactured gases,1099.804
144,Bosnia and Herzegovina,2020-02,Coal and manufactured gases,936.056
145,Bosnia and Herzegovina,2020-03,Coal and manufactured gases,851.165
146,Bosnia and Herzegovina,2020-04,Coal and manufactured gases,838.391
147,Bosnia and Herzegovina,2020-05,Coal and manufactured gases,824.245
148,Bosnia and Herzegovina,2020-06,Coal and manufactured gases,680.048
149,Bosnia and Herzegovina,2020-07,Coal and manufactured gases,836.285
150,Bosnia and Herzegovina,2020-08,Coal and manufactured gases,942.794
151,Bosnia and Herzegovina,2020-09,Coal and manufactured gases,749.714
152,Bosnia and Herzegovina,2020-10,Coal and manufactured gases,740.678
153,Bosnia and Herzegovina,2020-11,Coal and manufactured gases,960.255
154,Bosnia and Herzegovina,2020-12,Coal and manufactured gases,961.908
155,Bosnia and Herzegovina,2021-01,Coal and manufactured gases,1027.328
156,Bosnia and Herzegovina,2021-02,Coal and manufactured gases,873.76
157,Bosnia and Herzegovina,2021-03,Coal and manufactured gases,828.408
158,Bosnia and Herzegovina,2021-04,Coal and manufactured gases,671.213
159,Bosnia and Herzegovina,2021-05,Coal and manufactured gases,652.251
160,Bosnia and Herzegovina,2021-06,Coal and manufactured gases,774.981
161,Bosnia and Herzegovina,2021-07,Coal and manufactured gases,898.481
