,country,time-period,sector,energy-type,value(KTOE)
123,Greece,2017,transport,Electricity,16.173
124,Greece,2018,transport,Electricity,17.386
125,Greece,2019,transport,Electricity,17.436
126,Greece,2020,transport,Electricity,15.003
127,Spain,2009,transport,Electricity,256.664
128,Spain,2010,transport,Electricity,277.042
129,Spain,2011,transport,Electricity,343.078
130,Spain,2012,transport,Electricity,336.629
131,Spain,2013,transport,Electricity,328.375
132,Spain,2014,transport,Electricity,335.856
133,Spain,2015,transport,Electricity,342.046
134,Spain,2016,transport,Electricity,335.512
135,Spain,2017,transport,Electricity,342.82
136,Spain,2018,transport,Electricity,347.893
137,Spain,2019,transport,Electricity,338.521
138,Spain,2020,transport,Electricity,286.758
139,Finland,2009,transport,Electricity,61.565
140,Finland,2010,transport,Electricity,63.629
141,Finland,2011,transport,Electricity,62.769
142,Finland,2012,transport,Electricity,63.371
143,Finland,2013,transport,Electricity,63.113
144,Finland,2014,transport,Electricity,62.253
145,Finland,2015,transport,Electricity,60.705
146,Finland,2016,transport,Electricity,60.877
147,Finland,2017,transport,Electricity,66.638
148,Finland,2018,transport,Electricity,72.485
149,Finland,2019,transport,Electricity,73.861
150,Finland,2020,transport,Electricity,70.163
151,France,2009,transport,Electricity,866.638
152,France,2010,transport,Electricity,863.027
153,France,2011,transport,Electricity,905.224
154,France,2012,transport,Electricity,921.22
155,France,2013,transport,Electricity,931.453
156,France,2014,transport,Electricity,906.719
157,France,2015,transport,Electricity,920.153
158,France,2016,transport,Electricity,904.592
159,France,2017,transport,Electricity,909.674
160,France,2018,transport,Electricity,867.543
161,France,2019,transport,Electricity,866.821
162,France,2020,transport,Electricity,716.973
163,Georgia,2013,transport,Electricity,24.248
164,Georgia,2014,transport,Electricity,22.958
165,Georgia,2015,transport,Electricity,25.279
166,Georgia,2016,transport,Electricity,25.795
167,Georgia,2017,transport,Electricity,28.934
168,Georgia,2018,transport,Electricity,31.427
169,Georgia,2019,transport,Electricity,36.019
170,Georgia,2020,transport,Electricity,20.353
171,Croatia,2009,transport,Electricity,22.958
172,Croatia,2010,transport,Electricity,22.958
173,Croatia,2011,transport,Electricity,22.442
174,Croatia,2012,transport,Electricity,21.41
175,Croatia,2013,transport,Electricity,20.464
176,Croatia,2014,transport,Electricity,19.862
177,Croatia,2015,transport,Electricity,21.066
178,Croatia,2016,transport,Electricity,21.582
179,Croatia,2017,transport,Electricity,22.992
180,Croatia,2018,transport,Electricity,24.248
